address,level,
0x863e5db772c4aeeed1c5fa6391b61319b382320d,high,",('0x863e5db772c4aeeed1c5fa6391b61319b382320d','high')"
0xbc517cce04d612fc12f4aa19535a044d46cef49d,high,",('0xbc517cce04d612fc12f4aa19535a044d46cef49d','high')"
0xd8bb88d13878607310c266a192c2984b966f9948,high,",('0xd8bb88d13878607310c266a192c2984b966f9948','high')"
0xc703b659227de1128f3182a8b8d961f1cde7b981,high,",('0xc703b659227de1128f3182a8b8d961f1cde7b981','high')"
0x0e4cc8507824789fb10e36cc01af383a06d80dd9,high,",('0x0e4cc8507824789fb10e36cc01af383a06d80dd9','high')"
0x49a540bff3c4d9c669d4d48595839392d7bfa263,high,",('0x49a540bff3c4d9c669d4d48595839392d7bfa263','high')"
0xd037f1b9ce41479bef852c608943fa4fc0ce6768,high,",('0xd037f1b9ce41479bef852c608943fa4fc0ce6768','high')"
0xc645876ae5f8902728aabc1a650fcf4fc4a4f33e,high,",('0xc645876ae5f8902728aabc1a650fcf4fc4a4f33e','high')"
0xa630f23ca51d0a7110ab30d0756fca3819b1a3ef,high,",('0xa630f23ca51d0a7110ab30d0756fca3819b1a3ef','high')"
0x859bc4ec58547304cd54df70e729a92bb09d8dec,high,",('0x859bc4ec58547304cd54df70e729a92bb09d8dec','high')"
0x54cf9869d361f1100cadd2af1f3bc4e34532a8c9,high,",('0x54cf9869d361f1100cadd2af1f3bc4e34532a8c9','high')"
0x218f2fd0b94d83056563f5bb658a4cf3e814cb70,high,",('0x218f2fd0b94d83056563f5bb658a4cf3e814cb70','high')"
0xfb9b7d5a4fb32690e12e83e0fcbd6422e91bebe5,high,",('0xfb9b7d5a4fb32690e12e83e0fcbd6422e91bebe5','high')"
0x4965db8950051e7eff5b7ea1ce5f3a38764de554,high,",('0x4965db8950051e7eff5b7ea1ce5f3a38764de554','high')"
0x0b600048b9039b5702253aadcae15d77128e42ea,high,",('0x0b600048b9039b5702253aadcae15d77128e42ea','high')"
0xfe1bb3f4ac91973ee098d3ada218d26221d0caba,high,",('0xfe1bb3f4ac91973ee098d3ada218d26221d0caba','high')"
0x203a4d639b0faea97f633b2c59da49d5838ec0ae,high,",('0x203a4d639b0faea97f633b2c59da49d5838ec0ae','high')"
0x75f2c6e34013923ee8419731f1ad803b23527a9b,high,",('0x75f2c6e34013923ee8419731f1ad803b23527a9b','high')"
0x20b67b09efc61faf906cb3d1f69373187ce622f7,high,",('0x20b67b09efc61faf906cb3d1f69373187ce622f7','high')"
0xa25c4156e65173468fa40b658b433675a733764b,high,",('0xa25c4156e65173468fa40b658b433675a733764b','high')"
0xe0f2313bc85932612c6825067b6998da12912f46,high,",('0xe0f2313bc85932612c6825067b6998da12912f46','high')"
0x051afb93a1cd589da1baed284666bbd2142545dc,high,",('0x051afb93a1cd589da1baed284666bbd2142545dc','high')"
0x142aa73a452c0e55abb49e250d02da88db97f04a,high,",('0x142aa73a452c0e55abb49e250d02da88db97f04a','high')"
0x4405f42728ad7e647265b45bc9bcbcbc31f11c66,high,",('0x4405f42728ad7e647265b45bc9bcbcbc31f11c66','high')"
0x83bacce0f4e159fcf2e529caa735410bbab5438b,high,",('0x83bacce0f4e159fcf2e529caa735410bbab5438b','high')"
0x8e83e298cc9bc3d2fb933020ea479ababe43cc9c,high,",('0x8e83e298cc9bc3d2fb933020ea479ababe43cc9c','high')"
0xb4bb2a173bdcc3a46d81d8f90bca7e148a0fd265,high,",('0xb4bb2a173bdcc3a46d81d8f90bca7e148a0fd265','high')"
0x9ec065fc52a05a41319b5da8cbde2f6015615585,high,",('0x9ec065fc52a05a41319b5da8cbde2f6015615585','high')"
0xe7b63d718d27e439208187ebb3b59a3794a6a279,high,",('0xe7b63d718d27e439208187ebb3b59a3794a6a279','high')"
0xbd605903325add52cd40866ad92f0287631b6bae,high,",('0xbd605903325add52cd40866ad92f0287631b6bae','high')"
0x1284980b9a75469fd7a33ea123b098b723893ae4,high,",('0x1284980b9a75469fd7a33ea123b098b723893ae4','high')"
0x347ac37363d6e2b9b05780a7d33237d15b6b5e89,high,",('0x347ac37363d6e2b9b05780a7d33237d15b6b5e89','high')"
0xbba594d1958a8b8deacd880e97342690b7fd3827,high,",('0xbba594d1958a8b8deacd880e97342690b7fd3827','high')"
0x1026aac031b021c2a58b19294338a82d84c4f33c,high,",('0x1026aac031b021c2a58b19294338a82d84c4f33c','high')"
0x1694f32cd9f7d2a9538d0e49df4479aff425f5f7,high,",('0x1694f32cd9f7d2a9538d0e49df4479aff425f5f7','high')"
0x0080a7bd3e44471b37fd042a41b9abfd48f7e7e1,high,",('0x0080a7bd3e44471b37fd042a41b9abfd48f7e7e1','high')"
0x1e0479f0777bbcf9f08fddce9dfe9a4dc8f1b290,high,",('0x1e0479f0777bbcf9f08fddce9dfe9a4dc8f1b290','high')"
0xfca1b4a3fa71cf33225d5678002552b4bee79949,high,",('0xfca1b4a3fa71cf33225d5678002552b4bee79949','high')"
0x004ff14bc58969f78b0a8063e07801831426746e,high,",('0x004ff14bc58969f78b0a8063e07801831426746e','high')"
0x506214297beaae7f67d3bbc113858ee53b05e08d,high,",('0x506214297beaae7f67d3bbc113858ee53b05e08d','high')"
0x2aa174335c40ff2fa15ccf150c525fc49ed2b5f2,high,",('0x2aa174335c40ff2fa15ccf150c525fc49ed2b5f2','high')"
0x509bed05fa643cc4023620652b5c03d15d7e911a,high,",('0x509bed05fa643cc4023620652b5c03d15d7e911a','high')"
0xf843c5a769d74616453908c30d9fe673517028d8,high,",('0xf843c5a769d74616453908c30d9fe673517028d8','high')"
